statement,answer,source
Percentage of the Sahara Desert covered by sand dunes.,0.25,National Geographic
Percentage of the world's population with blue eyes.,0.08,World Atlas
Percentage of the world's currency that is physical money.,0.08,Federal Reserve
Percentage of the world’s oxygen that comes from the ocean.,0.5,National Oceanographic and Atmospheric Administration
Percentage of known marine species affected by ocean acidification.,0.3,United Nations
Percentage of people living in the Southern Hemisphere.,0.1,United Nations Population Division
Percentage of the human genome shared with chimpanzees.,0.988,National Human Genome Research Institute
Percentage of astronauts that have been women.,0.11,NASA
Percentage of the world's goods transported by sea.,0.9,International Chamber of Shipping
Percentage of the internet that is the 'Dark Web'.,0.05,World Wide Web Foundation
Percentage of the global population that are twins.,0.019,World Health Organization
Percentage of the earth’s water that is drinkable freshwater.,0.025,US Geological Survey
Percentage of the world's population that are natural redheads.,0.02,National Geographic
Percentage of dreams that are forgotten.,0.95,American Psychological Association
Percentage of the universe that is visible.,0.04,NASA
Percentage of people who can wiggle their ears.,0.15,Smithsonian Magazine
Percentage of DNA humans share with bananas.,0.6,National Human Genome Research Institute
Percentage of the world’s population living on islands.,0.1,United Nations
Percentage of people with an IQ over 130.,0.021,American Psychological Association
Percentage of the world's supply of fresh water that is in the Great Lakes.,0.2,Environmental Protection Agency
Global internet penetration rate,0.625,Internet World Stats
Share of traffic on mobile devices out of total internet traffic worldwide,0.5479999999999999,Statista
Percentage of emails that are spam,0.85,Securelist
Percentage of Earth's forests lost since the dawn of agriculture,0.46,World Wildlife Fund
Share of global carbon dioxide emissions from the transportation sector,0.14,Environmental Protection Agency
Percentage of the world's coral reefs that have been destroyed,0.5,National Oceanic and Atmospheric Administration
Percentage of adults worldwide not getting enough physical activity,0.28,World Health Organization
Share of the global population without access to clean drinking water,0.11,World Health Organization
Percentage of children under 5 who are underweight globally,0.135,UNICEF
Share of the world's wealth owned by the richest 1%,0.44,Credit Suisse
Percentage of small businesses that fail within the first 5 years,0.5,Bureau of Labor Statistics
Share of global GDP accounted for by the United States,0.244,World Bank
Percentage of the global population that lives in urban areas,0.55,United Nations
Share of people worldwide who have never used the internet,0.37,International Telecommunication Union
Percentage of the world's languages that are endangered,0.43,UNESCO
Share of the human genome that is identical in all people,0.9990000000000001,National Human Genome Research Institute
Percentage of Nobel Prizes won by women,0.065,Nobel Prize
Share of global research and development spending by the United States,0.27,UNESCO
